conta_norm,n_obs,media,desvio_padrao,cv,padrao,previsao_jul26
quanto falta,1,"1,303.64",0.00,0.0%,sem dados,"1,303.64"
salario deusa + vale transporte,5,"1,235.60",111.82,9.0%,variavel sazonal,"1,319.02"
adiantamento deusa,37,"1,231.42",133.23,10.8%,reajuste anual,"1,312.50"
dr ricardo,2,"1,200.00",0.00,0.0%,sem dados,"1,200.00"
conta luz,13,"1,190.50",177.22,14.9%,variavel sazonal,"1,400.00"
personal thalita,5,"1,035.00",165.95,16.0%,reajuste anual,"1,080.00"
reembolso fisio,1,"1,000.00",0.00,0.0%,sem dados,"1,000.00"
devolucao sogra,1,"1,000.00",0.00,0.0%,sem dados,"1,000.00"
salario deusa,29,991.88,238.22,24.0%,variavel nao-sazonal,"1,083.90"
dentista,2,960.00,0.00,0.0%,sem dados,960.00
fisio thalita,5,840.00,195.96,23.3%,reajuste anual,"1,000.00"
cartao mercado livre,1,821.93,0.00,0.0%,sem dados,821.93
prestadores de servico,5,811.00,0.00,0.0%,fixa,811.00
esocial deusa,13,791.43,137.13,17.3%,variavel sazonal,738.48
comgas,29,787.43,183.03,23.2%,variavel nao-sazonal,986.72
gps deusa,27,752.26,163.62,21.8%,variavel nao-sazonal,430.40
conta agua,10,728.03,69.99,9.6%,variavel sazonal,719.58
dona maria,1,700.00,0.00,0.0%,sem dados,700.00
conta agua casa,1,691.54,0.00,0.0%,sem dados,691.54
conta luz apto,28,514.81,125.35,24.3%,variavel nao-sazonal,612.56
natacao,15,488.00,9.80,2.0%,fixa,480.00
escola musica malu,28,487.86,15.44,3.2%,fixa,510.00
escola musica maju,28,487.86,15.44,3.2%,fixa,510.00
bilingue malu,30,411.99,69.54,16.9%,variavel nao-sazonal,304.19
bilingue maju,19,381.33,59.40,15.6%,variavel nao-sazonal,304.19
net,40,362.91,130.80,36.0%,variavel nao-sazonal,501.71
blilingue malu,1,320.92,0.00,0.0%,sem dados,320.92
clube + ipen,4,293.00,0.00,0.0%,fixa,293.00
clube,5,263.00,0.00,0.0%,fixa,263.00
gps jeorge,10,261.00,0.00,0.0%,fixa,261.00
ingles,7,260.00,45.28,17.4%,variavel sazonal,280.00
vivo,28,257.85,106.75,41.4%,variavel nao-sazonal,99.99
vale transporte deusa,9,253.77,9.68,3.8%,fixa,262.43
pagto vicente,10,250.00,0.00,0.0%,fixa,250.00
vaga garagem -3,1,250.00,0.00,0.0%,sem dados,250.00
vaga garagem chacara monteverde,9,250.00,0.00,0.0%,fixa,250.00
pagto sr mariano,10,237.50,37.50,15.8%,variavel sazonal,250.00
aluguel vaga garagem,23,236.09,9.20,3.9%,fixa,250.00
estacionamento allianz,38,216.84,27.06,12.5%,reajuste anual,260.00
volei maju,1,216.58,0.00,0.0%,sem dados,216.58
contador mcvsw,11,182.95,18.67,10.2%,variavel nao-sazonal,162.50
teatro maju,4,155.08,0.00,0.0%,fixa,155.08
estacionamento batista,11,100.00,0.00,0.0%,fixa,100.00
iptu sogra,1,75.76,0.00,0.0%,sem dados,75.76
pagto jeorge,10,65.00,45.00,69.2%,variavel sazonal,50.00
cartao xp,36,60.20,99.00,164.4%,variavel sazonal,16.57
mesada malu,4,60.00,0.00,0.0%,fixa,60.00
material maju,4,53.36,0.00,0.0%,fixa,53.36
material malu,4,53.36,0.00,0.0%,fixa,53.36
mesada maju,26,53.08,12.94,24.4%,reajuste anual,60.00
seguro cartoes,15,51.06,1.14,2.2%,fixa,52.28
pagto ipen beto,40,30.00,0.00,0.0%,fixa,30.00
